"SOURCE_SYSTEM","SOURCE_CONN","TABSCHEMA","TABNAME","COLNO","COLNAME","TYPENAME","LENGTH","SCALE","REMARKS","TAB_CATALOG","TAB_REMARKS","LIMITIERUNG"
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,4,VALIDFROM,DATE,4,0,attribute ValidFrom in class framework.business.TemporalModel,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,5,VALIDTO,DATE,4,0,attribute ValidTo in class framework.business.TemporalModel,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,6,VAL,VARCHAR,255,0,attribute Val in class partner.business.DynamicContainerComboBoxValueModel,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,7,LABEL,VARCHAR,60,0,attribute Label in class partner.business.DynamicContainerComboBoxValueModel,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,8,ORDER,INTEGER,4,0,attribute Order in class partner.business.DynamicContainerComboBoxValueModel,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,9,COMMAND,VARCHAR,2048,0,attribute Command in class partner.business.DynamicContainerComboBoxValueModel,,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,PP_DCCOMBOBOXVAL,10,KEY_DCKEY_ID,BIGINT,8,0,foreign key; references table PP_DCKey (class partner.business.DynamicContainerKeyModel),,class partner.business.DynamicContainerComboBoxValueModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,66,ORSTORNOMLDG_ORIGINALMLDG_ID,BIGINT,8,0,foreign key; references table ME_OriginalMeldung (class meldungen.business.OriginalMeldungModel),,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,67,ZUGEHHHVORST_VERSPERSON_ID,BIGINT,8,0,foreign key; references table ME_VersichertePerson (class meldungen.business.VersichertePersonModel),,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,68,ASYLBLG2,SMALLINT,2,0,attribute AsylbLG2 in class meldungen.business.MeldungSonstigeVersicherteModel,,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,69,SOZIALHILFE,SMALLINT,2,0,attribute Sozialhilfe in class meldungen.business.MeldungSonstigeVersicherteModel,,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,70,GRENZGAENGER,SMALLINT,2,0,attribute Grenzgaenger in class meldungen.business.MeldungSonstigeVersicherteModel; codetype kerntabellen.business.GrenzgaengerType,,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,71,WOHNSTAAT,SMALLINT,2,0,attribute Wohnstaat in class meldungen.business.MeldungSonstigeVersicherteModel; codetype framework.base.CountryType,,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,72,ERLGRUNDSONSTIGES,VARCHAR,1000,0,attribute ErlGrundSonstiges in class meldungen.business.MeldungSonstigeVersicherteModel,,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_MLDGSONSTIGEVERSICHERTE,73,ORGANSPENDER,SMALLINT,2,0,attribute Organspender in class meldungen.business.MeldungSonstigeVersicherteModel,,class meldungen.business.MeldungSonstigeVersicherteModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,4,VALIDFROM,DATE,4,0,attribute ValidFrom in class framework.business.TemporalModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,5,VALIDTO,DATE,4,0,attribute ValidTo in class framework.business.TemporalModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,6,ASYLBLG,SMALLINT,2,0,attribute AsylbLG in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,7,AENDERUNGAM,TIMESTAMP,10,6,attribute AenderungAm in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,8,AENDERUNGDURCH,VARCHAR,16,0,attribute AenderungDurch in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,9,BEFRISTUNGEGK,DATE,4,0,attribute BefristungEgk in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,10,MEHRFACHBESCHAEFTIGT,SMALLINT,2,0,attribute MehrfachBeschaeftigt in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,11,KVNRSTAMMVER,VARCHAR,10,0,attribute KVNummerStammVersicherter in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,12,DEAKTIVIERT,SMALLINT,2,0,attribute Deaktiviert in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,13,BETRIEBSNUMMER,VARCHAR,10,0,attribute BetriebsNummer in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,14,BNLETZTERMELDER,VARCHAR,10,0,attribute BetriebsnummerLetzterMelder in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,15,STATUS,SMALLINT,2,0,attribute Status in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.StatusVersicherungszeitType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,16,PERSONENGRUPPE,SMALLINT,2,0,attribute PersonenGruppe in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.PersonenGruppeType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,17,BEITRAGSGRUPPEKV,SMALLINT,2,0,attribute BeitragsGruppeKV in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.BeitragsGruppeKVType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,18,BEITRAGSGRUPPERV,SMALLINT,2,0,attribute BeitragsGruppeRV in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.BeitragsGruppeRVType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,19,BEITRAGSGRUPPEALV,SMALLINT,2,0,attribute BeitragsGruppeALV in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.BeitragsGruppeALVType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,20,BEITRAGSGRUPPEPV,SMALLINT,2,0,attribute BeitragsGruppePV in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.BeitragsGruppePVType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,21,PERSONENKREIS,SMALLINT,2,0,attribute PersonenKreis in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.PersonenKreisType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,22,RECHTSKREISRVALV,SMALLINT,2,0,attribute RechtsKreisRVALV in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.RechtskreisVersicherterType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,23,PERSONALNUMMER,VARCHAR,20,0,attribute PersonalNummer in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,24,TAETIGKEITSSCHLUESSEL,VARCHAR,9,0,attribute TaetigkeitsSchluessel in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,25,VERSICHERUNGSTRAEGERRV,SMALLINT,2,0,attribute VersicherungsTraegerRV in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.VersicherungstraegerType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,26,ISTVERSICHERUNGSARTKV,SMALLINT,2,0,attribute IstVersicherungsArtKV in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,27,ISTVERSICHERUNGSARTPV,SMALLINT,2,0,attribute IstVersicherungsArtPV in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,28,MITVORLIEGENSVAUSWEIS,SMALLINT,2,0,attribute VorliegenSVAusweis in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,33,KRANKENGELDVERSICHERT,SMALLINT,2,0,attribute WaehlbarerKrankengeldAnspruch in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,34,ANMELDUNGERFASSTAM,DATE,4,0,attribute AnmeldungErfasstAm in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,29,GLEITZONE,SMALLINT,2,0,attribute Gleitzone in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.GleitzoneDeuevType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,30,ANGEHOERIGENMERKMAL,SMALLINT,2,0,attribute AngehoerigenMerkmal in class meldungen.business.VersicherungsZeitModel; codetype kerntabellen.business.AngehoerigenMerkmalType,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,31,ISTFIRMENZAHLER,SMALLINT,2,0,attribute FirmenZahler in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_VERSICHERUNGSZEIT,32,KRANKENGELDANSPRUCHABTAG,SMALLINT,2,0,attribute AnspruchKrankengeldAbTag in class meldungen.business.VersicherungsZeitModel,,class meldungen.business.VersicherungsZeitModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,25,SONSTLEKENN,SMALLINT,2,0,attribute SonstigeLeKennzeichen in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,26,SONSTKENN,SMALLINT,2,0,attribute SonstigeKennzeichen in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,27,ARZTWECHSAM,DATE,4,0,attribute ArztwechselAm in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,28,MEDSCHLUESS,VARCHAR,3,0,attribute MedizinischerSchluessel in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,29,EVALUATIONKOHORTE,VARCHAR,5,0,attribute EvaluationKohorte in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,30,ERSTDOKUARZTEVALAM,DATE,4,0,attribute ErstdokumentationArztbesuchEvaluationAm in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,31,EVALUATIONSTICHPROBETEILN,SMALLINT,2,0,attribute EvaluationStichprobeTeilnehmer in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,32,EVALSTICHPRERSTELLBRIEFAM,DATE,4,0,attribute EvaluationStichprobeErstellungBriefAm in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,33,LANREINSCHREIBENDER,VARCHAR,9,0,attribute VertragsarztNummerEinschreibenderDmpArzt in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,34,LANRKOORDINIERENDER,VARCHAR,9,0,attribute VertragsarztNummerKoordinierenderDmpArzt in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,38,EINSCHSTELLE_DMPARZT_ID,BIGINT,8,0,foreign key; references table ME_DmpArzt (class meldungen.business.dmp.DmpArztModel),,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,39,DMPTEILNZUS_DMPTEILNZUS_ID,BIGINT,8,0,foreign key; references table ME_DmpTeilnahmeZusatz (class meldungen.business.dmp.DmpTeilnahmeZusatzModel),,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,40,ORDNER,INTEGER,4,0,attribute Ordner in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,41,FALLAKTE_FALLAKTEFV_ID,BIGINT,8,0,foreign key; Cross Component Association (CCA): references table PP_FallakteFV (class partner.business.fallakte.FallakteFVModel),,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,42,STORNIERTAM,DATE,4,0,attribute StorniertAm in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,43,AQUISEWIEDERVORLAGEDATUM,DATE,4,0,attribute AquiseWiedervorlageDatum in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,44,AQUISEWIEDERVORLAGEZEIT,TIME,3,0,attribute AquiseWiedervorlageUhrzeit in class meldungen.business.dmp.DmpTeilnahmeModel,,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,35,VERTRAG_DMPVERTRAG_ID,BIGINT,8,0,foreign key; references table ME_DmpVertrag (class meldungen.business.dmp.DmpVertragModel),,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,36,KOORDSTELLE_DMPARZT_ID,BIGINT,8,0,foreign key; references table ME_DmpArzt (class meldungen.business.dmp.DmpArztModel),,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,ME_DMPTEILNAHME,37,PERSON_VERSPERSON_ID,BIGINT,8,0,foreign key; references table ME_VersichertePerson (class meldungen.business.VersichertePersonModel),,class meldungen.business.dmp.DmpTeilnahmeModel,
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,9,ZEITPUNKT,DATE,4,0,attribute Zeitpunkt in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,10,DOPPELUNTERSUCHUNG,SMALLINT,2,0,attribute Doppeluntersuchung in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,11,FACHABTEILUNGCODE,VARCHAR,4,0,attribute FachabteilungCode in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,12,FACHABTEILUNGBEZEICHNUNG,VARCHAR,160,0,attribute FachabteilungBezeichnung in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,13,WUNDHEILUNGAM,DATE,4,0,attribute WundheilungAm in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,14,ABRECHNUNGSBEGRUENDUNG,VARCHAR,70,0,attribute Abrechnungsbegruendung in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,15,TEAMMITGLIEDSIDENT,VARCHAR,9,0,attribute Teammitgliedsidentifikation in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,16,TEAMEBENE,SMALLINT,2,0,attribute Teamebene in class leistungen.business.khpv.kv.EinzelleistungKvModel; codetype kerntabellen.business.TP4aSchluessel25TeamebeneType,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,17,GENNUMMERCODIERT,VARCHAR,12,0,attribute GennummerCodiert in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,18,GENNUMMERANZAHL,SMALLINT,2,0,attribute GennummerAnzahl in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,19,UNGUELTIG,SMALLINT,2,0,attribute Ungueltig in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,20,AUSDATENAUSTAUSCHVERFAHR,SMALLINT,2,0,attribute AusDatenaustauschverfahren in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,21,RECHNUNG_RECHNUNGKV_ID,BIGINT,8,0,foreign key; references table LE_RechnungKv (class leistungen.business.khpv.kv.RechnungKvModel),,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,22,LEIUMFEINGER_LUEINZLLEIKV_ID,BIGINT,8,0,foreign key; references table LE_LeistUmfEinzelleistungKv (class leistungen.business.khpv.kv.LeistungsumfangEinzelleistungKvModel),,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,23,LEIUMFAKZEPT_LUEINZLLEIKV_ID,BIGINT,8,0,foreign key; references table LE_LeistUmfEinzelleistungKv (class leistungen.business.khpv.kv.LeistungsumfangEinzelleistungKvModel),,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,24,URSPRUNGSEL_EINZELLEIKV_ID,BIGINT,8,0,foreign key; references table LE_EinzelleistungKv (class leistungen.business.khpv.kv.EinzelleistungKvModel),,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,25,ARTDERLEISTUNG,SMALLINT,2,0,attribute ArtDerLeistung in class leistungen.business.khpv.kv.EinzelleistungKvModel; codetype kerntabellen.business.ArtDerLeistungHospizType,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,26,KORREKTUR_EINZELLEIKV_ID,BIGINT,8,0,foreign key; references table LE_EinzelleistungKv (class leistungen.business.khpv.kv.EinzelleistungKvModel),,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,0,OID,BIGINT,8,0,primary key; attribute Oid in class framework.business.Model,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,1,CREATEDBY,VARCHAR,16,0,attribute CreatedBy in class framework.business.Model,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,2,CREATEDAT,TIMESTAMP,10,6,attribute CreatedAt in class framework.business.Model,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,3,VERSIONNR,SMALLINT,2,0,for optimistic locking; attribute VersionNr in class framework.business.Model,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,4,LAUFENDENUMMER,SMALLINT,2,0,attribute LaufendeNummer in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
"21C",SBK21C,USR01537,LE_EINZELLEISTUNGKV,5,SKONTIERUNGSFAEHIG,SMALLINT,2,0,attribute Skontierungsfaehig in class leistungen.business.khpv.kv.EinzelleistungKvModel,,class leistungen.business.khpv.kv.EinzelleistungKvModel,WHERE CREATEDAT >=''2019-06-01''
